Pirate Name,Pirate URL,Portrait URL,Crew Rank,Crew Job,Crew Name,Flag Role,Flag Name,Navy Rank,Navy Name,Navy Archipelago,Owns Count,Owns List,Manages Count,Manages List,Stalls Count,Stalls List,Houses Count,Houses List,Hearties Count,Hearties List,Reputation Conqueror,Reputation Explorer,Reputation Magnate,Reputation Patron,Skill Category Alchemistry,Skill Category Battle Navigation,Skill Category Bilging,Skill Category Blacksmithing,Skill Category Carpentry,Skill Category Distilling,Skill Category Drinking,Skill Category Foraging,Skill Category Gunning,Skill Category Hearts,Skill Category Navigating,Skill Category Patching,Skill Category Poker,Skill Category Rigging,Skill Category Rumble,Skill Category Sailing,Skill Category Shipwrightery,Skill Category Spades,Skill Category Swordfighting,Skill Category Treasure Drop,Skill Category Treasure Haul,Skill Category Weaving,Skill Experience Alchemistry,Skill Experience Battle Navigation,Skill Experience Bilging,Skill Experience Blacksmithing,Skill Experience Carpentry,Skill Experience Distilling,Skill Experience Drinking,Skill Experience Foraging,Skill Experience Gunning,Skill Experience Hearts,Skill Experience Navigating,Skill Experience Patching,Skill Experience Poker,Skill Experience Rigging,Skill Experience Rumble,Skill Experience Sailing,Skill Experience Shipwrightery,Skill Experience Spades,Skill Experience Swordfighting,Skill Experience Treasure Drop,Skill Experience Treasure Haul,Skill Experience Weaving,Skill Reputation Alchemistry,Skill Reputation Battle Navigation,Skill Reputation Bilging,Skill Reputation Blacksmithing,Skill Reputation Carpentry,Skill Reputation Distilling,Skill Reputation Drinking,Skill Reputation Foraging,Skill Reputation Gunning,Skill Reputation Hearts,Skill Reputation Navigating,Skill Reputation Patching,Skill Reputation Poker,Skill Reputation Rigging,Skill Reputation Rumble,Skill Reputation Sailing,Skill Reputation Shipwrightery,Skill Reputation Spades,Skill Reputation Swordfighting,Skill Reputation Treasure Drop,Skill Reputation Treasure Haul,Skill Reputation Weaving,Scrape Date,Scraped At UTC
Sheownsme,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=sheownsme,http://emerald.puzzlepirates.com/media/emerald/portraits/eb2/ba3c3f976f8049b7bf337bf331ff2.jpg,Senior Officer,Prisoner,Black Tempest,Prince,Just Good Business,Ensign,The Lowland Hundred Navy,Horse Head,1,Shiver Me Spices on Alkaid Island,3,Forged Vanguard on Barbary Island | Long Day on Barbary Island | Watchman's Tower on The Lowland Hundred,1,Vera's Tailoring Stall on Admiral Island,5,Homestead Hut on Lincoln Island | Cabin Fever on Admiral Island | Homestead Hut on Lincoln Island | Bedside Manors on Admiral Island | Cthulhu Mansion on Admiral Island,1,Vera,Aspiring,Established,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Expert,Weighty,Apprentice,Weighty,Solid,Neophyte,Solid,Expert,Solid,Solid,Solid,Illustrious,Broad,Novice,Solid,Solid,Narrow,Narrow,Neophyte,Weighty,Apprentice,Distinguished,Legendary,Distinguished,Able,Proficient,Proficient,Proficient,Proficient,Respected,Ultimate,Proficient,Master,Able,Proficient,Master,Distinguished,Proficient,Distinguished,Respected,Proficient,Proficient,Proficient,2026-04-07,2026-04-07 18:02:09
Vera,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=vera,http://emerald.puzzlepirates.com/media/emerald/portraits/3f1/916b4cbbd9361985c56b8c7e6011c.jpg,Captain,Siren,Night Court,Princess,Just Good Business,Admiral,Admiral Island Navy,Gull,3,Snoopy Bud Market on The Lowland Hundred | Watchman's Tower on The Lowland Hundred | Brownie Builder on The Lowland Hundred,3,Forged Vanguard on Barbary Island | Long Day on Barbary Island | Shiver Me Spices on Alkaid Island,1,Vera's Tailoring Stall on Admiral Island,5,The Dove Shack on Armstrong Island | Cthulhu Mansion on Admiral Island | Me So Homey on Armstrong Island | Bedside Manors on Admiral Island | Villa Las Vegas on Admiral Island,1,Sheownsme,Aspiring,Established,Noted,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Broad,Paragon,Illustrious,Solid,Sublime,Solid,Narrow,Weighty,Illustrious,Solid,Illustrious,Solid,Weighty,Solid,Broad,Expert,Solid,Narrow,Solid,Broad,Weighty,Narrow,Proficient,Ultimate,Respected,Proficient,Respected,Proficient,Respected,Legendary,Respected,Grand-Master,Distinguished,Distinguished,Proficient,Distinguished,Renowned,Respected,Proficient,Distinguished,Proficient,Master,Legendary,Master,2026-04-07,2026-04-07 18:02:09
Bvl,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=bvl,http://emerald.puzzlepirates.com/media/emerald/portraits/81d/5b48a7e7df0cfdd7f7c5c485f08e4.jpg,Senior Officer,,La Armada,Lord,Just Good Business,Lieutenant,Armstrong Island Navy,Canis,2,Black Ship Down on Armstrong Island | Just Wanna Smelt on Armstrong Island,0,,2,Bvl's Apothecary Stall on Bowditch Island | Bvl's Apothecary Stall on Armstrong Island,3,Jurassic Shack on Arakoua Island | Long Beach Cribs on Armstrong Island | Method Manor on Armstrong Island,0,,Aspiring,Established,Rumored,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Solid,Expert,Novice,Weighty,Apprentice,Neophyte,Narrow,Solid,Broad,Solid,Solid,Paragon,Paragon,Novice,Solid,Weighty,Solid,Solid,Novice,Weighty,Solid,Distinguished,Ultimate,Grand-Master,Able,Master,Able,Respected,Ultimate,Proficient,Master,Master,Master,Proficient,Ultimate,Proficient,Respected,Legendary,Renowned,Legendary,Respected,Grand-Master,Renowned,2026-04-07,2026-04-07 18:02:09
Dershlibob,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=dershlibob,http://emerald.puzzlepirates.com/media/emerald/portraits/bf2/be47c77f65742b8aa955f75c61ae3.jpg,Senior Officer,Diplomat,Night Court,Lord,Just Good Business,Commander,Admiral Island Navy,Gull,0,,0,,0,,6,Adobe Abode on Chachapoya Island | Aural Shacks on Bowditch Island | Caddyshack on Admiral Island | Shacky Doo on Hubble's Eye | Bringing Town the House on Admiral Island | Tortilla Villas on Chachapoya Island,0,,Noted,Established,Celebrated,Obscure,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Neophyte,Expert,Expert,Solid,Sublime,Neophyte,Broad,Weighty,Solid,Weighty,Expert,Solid,Weighty,Solid,Broad,Weighty,Narrow,Sublime,Revered,Solid,Weighty,Broad,Able,Renowned,Legendary,Distinguished,Master,Able,Proficient,Distinguished,Distinguished,Legendary,Respected,Master,Proficient,Proficient,Renowned,Respected,Proficient,Grand-Master,Legendary,Proficient,Distinguished,Respected,2026-04-07,2026-04-07 18:02:09
Mrpi,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=mrpi,http://emerald.puzzlepirates.com/media/emerald/portraits/726/7b189b5cebeb1e2481decccefc510.jpg,Captain,Nap Specialist,Win Or Lose,Lord,Just Good Business,Lieutenant Commander,The Lowland Hundred Navy,Horse Head,0,,2,Sail of the Three Brothers on Aimuari Island | Watchman's Tower on The Lowland Hundred,6,Mrpi's Ironworking Stall on Aimuari Island | Mrpi's Ironworking Stall on The Lowland Hundred | Bunie's Tailoring Stall on Chachapoya Island | Crystalmonky's Apothecary Stall on Chachapoya Island | Tropicans's Ironworking Stall on The Lowland Hundred | Tropicans's Shipbuilding Stall on The Lowland Hundred,6,Shack Macaque on Alkaid Island | Caddyshack on Admiral Island | The Dove Shack on Armstrong Island | Pine Boxes on Aimuari Island | Jurassic Shack on Arakoua Island | Cypress Cabins on Alkaid Island,7,Bhadeti | Bloodrinker | Meeo | Platia | Scisekiller | Shivver | Theclipper,Renowned,Eminent,Eminent,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Expert,Weighty,Solid,Illustrious,Apprentice,Narrow,Weighty,Solid,Solid,Expert,Broad,Expert,Solid,Narrow,Solid,Solid,Broad,Solid,Broad,Solid,Narrow,Proficient,Distinguished,Distinguished,Distinguished,Distinguished,Able,Proficient,Distinguished,Able,Renowned,Proficient,Master,Distinguished,Proficient,Proficient,Proficient,Respected,Distinguished,Proficient,Proficient,Distinguished,Proficient,2026-04-07,2026-04-07 18:02:09
Spyda,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Spyda,http://emerald.puzzlepirates.com/media/emerald/portraits/ae8/f530b4f4993249eb1e952e6fa44eb.jpg,Senior Officer,,Euthanasia,Member,No Strings Attached,Lieutenant,Ventress Island Navy,Pelican,4,Hallow Bastion on Ventress Island | Strings Attached on Scrimshaw Island | Go Float Yourself on Ventress Island | Ships Attached on Scrimshaw Island,7,Arak 'n' Ball on Arakoua Island | Only Frigs on Barbary Island | Turn A Blind Dye on Bowditch Island | Ships Attached on Bowditch Island | Arak 'n' Anvil on Arakoua Island | Strings Attached on Bowditch Island | Frig Off on Barbary Island,11,Spyda's Distilling Stall on Admiral Island | Spyda's Distilling Stall on Alkaid Island | Spyda's Distilling Stall on Arakoua Island | Spyda's Distilling Stall on Armstrong Island | Spyda's Distilling Stall on Wissahickon Island | Spyda's Ironworking Stall on Wissahickon Island | Spyda's Distilling Stall on Isle of Kent | Spyda's Distilling Stall on Sayers Rock | Spyda's Distilling Stall on Caravanserai Island | Rhay's Distilling Stall on Scrimshaw Island | Custode's Ironworking Stall on Admiral Island,4,Love Shack on Caravanserai Island | Jurassic Shack on Arakoua Island | The Dove Shack on Armstrong Island | King Kottage on Admiral Island,0,,Rumored,Established,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Apprentice,Solid,Solid,Solid,Weighty,Novice,Novice,Solid,Narrow,Novice,Solid,Solid,Solid,Illustrious,Novice,Solid,Solid,Novice,Narrow,Novice,Solid,Neophyte,Able,Master,Legendary,Legendary,Master,Able,Able,Distinguished,Able,Able,Respected,Grand-Master,Master,Legendary,Proficient,Respected,Renowned,Able,Able,Distinguished,Master,Proficient,2026-04-07,2026-04-07 18:02:09
Brucemcgaw,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Brucemcgaw,http://emerald.puzzlepirates.com/media/emerald/portraits/1af/69dfcd151d71879a78ebe3d38623d.jpg,Officer,Shopkeeper,Moolah,Member,Do Not Reply,Stowaway,Admiral Island Navy,Gull,0,,0,,15,Brucemcgaw's Distilling Stall on Aimuari Island | Brucemcgaw's Distilling Stall on Sayers Rock | Brucemcgaw's Furnishing Stall on Admiral Island | Brucemcgaw's Ironworking Stall on Admiral Island | Brucemcgaw's Distilling Stall on Admiral Island | Brucemcgaw's Weaving Stall on Admiral Island | Brucemcgaw's Apothecary Stall on Admiral Island | Brucemcgaw's Ironworking Stall on Alkaid Island | Brucemcgaw's Tailoring Stall on Admiral Island | Brucemcgaw's Shipbuilding Stall on Admiral Island | Brucemcgaw's Distilling Stall on Arakoua Island | Brucemcgaw's Distilling Stall on Alkaid Island | Brucemcgaw's Distilling Stall on Scrimshaw Island | Brucemcgaw's Ironworking Stall on Aimuari Island | Brucemcgaw's Distilling Stall on Bowditch Island,1,Love Shack on Caravanserai Island,43,Alwaysbroke | Beckerz | Bekkyjo | Bilager | Blackjacck | Cazix | Darkmouth | Darkwell | Deckpig | Electricio | Fastugio | Gongfu | Gurlar | Kelsarianna | Kikinoki | Koalaking | Kou | Kozzar | Krash | Legoheads | Longsao | Meowsah | Metapuzzle | Mirru | Missroxy | Msrg | Nautical | Oceanvibe | Oodnadata | Ottilia | Prrettywoman | Rockyb | Ruminmytum | Sparrky | Squares | Teddyb | Tobyeans | Tokkii | Traegs | Wodobols | Xingtairen | Xyc | Yovie,Rumored,Illustrious,Celebrated,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Apprentice,Solid,Broad,Narrow,Narrow,Broad,Novice,Narrow,Novice,Novice,Narrow,Solid,Weighty,Solid,Neophyte,Broad,Solid,Novice,Neophyte,Neophyte,Expert,Novice,Able,Distinguished,Proficient,Able,Proficient,Proficient,Able,Proficient,Able,Able,Able,Master,Master,Proficient,Proficient,Proficient,Proficient,Able,Able,Proficient,Distinguished,Able,2026-04-08,2026-04-08 18:10:07
Amazingdarts,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Amazingdarts,http://emerald.puzzlepirates.com/media/emerald/portraits/632/75ddd11b9b0e1a145e49ff12b76c8.jpg,Captain,Explosives Expert,Pound the Alarm,King,Rude Awakening,Lieutenant,Arakoua Island Navy,Ibis,0,,4,The Jordanian Distillery on Bowditch Island | The Jordanian Apothecary on Bowditch Island | The Jordanian Steel on Bowditch Island | Botanical Blades on Sayers Rock,0,,5,Shacky Doo on Hubble's Eye | Homestead Hut on Lincoln Island | Minute House on Greenwich Island | Eccentric Estates on Arakoua Island | Swamp Castle on Bowditch Island,0,,Aspiring,Established,Eminent,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Solid,Solid,Narrow,Solid,Neophyte,Neophyte,Neophyte,Solid,Novice,Weighty,Broad,Solid,Weighty,Neophyte,Narrow,Solid,Novice,Narrow,Novice,Solid,Narrow,Distinguished,Master,Proficient,Distinguished,Distinguished,Able,Proficient,Renowned,Master,Able,Master,Master,Respected,Grand-Master,Proficient,Proficient,Respected,Able,Able,Able,Distinguished,Master,2026-04-08,2026-04-08 18:10:07
Whitesnakes,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=whitesnakes,http://emerald.puzzlepirates.com/media/emerald/portraits/87e/4262bb9fb58c04261b3e9a0c956f0.jpg,Senior Officer,Architect,Mayan Empire,Lord,No Strings Attached,Lieutenant,Admiral Island Navy,Gull,13,Strings Attached on Aimuari Island | Hot Iron and Heavy Loads on Alkaid Island | Kukulkan Spirits on Barbary Island | Ch'aaj Apothecary on Barbary Island | Yo Mommas Bikini String on Alkaid Island | Jade Industry on Armstrong Island | Dark Sommeliers on Alkaid Island | Threads of Kukulkan on Arakoua Island | Threads of Kukulkan on Caravanserai Island | Distill My Heart on Alkaid Island | Knot So Spicy on Arakoua Island | Turn A Blind Dye on Bowditch Island | Kukulkan Spirits on Sayers Rock,0,,4,Whitesnakes's Tailoring Stall on Admiral Island | Whitesnakes's Apothecary Stall on Admiral Island | Hydroventure's Ironworking Stall on Wissahickon Island | Woodventure's Ironworking Stall on Wissahickon Island,9,Bungalow Bill on Admiral Island | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Jonestown Houses on Aimuari Island | Bedside Manors on Admiral Island | Villa Las Vegas on Admiral Island | Guardians of the Gallery on Admiral Island | King Kottage on Admiral Island | The Great Estate on Admiral Island,33,Adrielle | Affame | Aperion | Arielday | Bluesnakes | Cashier | Cptdrewski | Dryke | Finbarr | Getwrecked | Gravee | Graysn | Hauk | Heralea | Hielo | Hollisue | Imany | Kahla | Kenjilamar | Lozenger | Mrflop | Ogkinggold | Sage | Scap | Souul | Spongiform | Spyda | Swissex | Texnikos | Urgal | Wulferion | Xery | Yasminkov,Renowned,Illustrious,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Broad,Expert,Expert,Narrow,Weighty,Novice,Neophyte,Solid,Solid,Neophyte,Solid,Solid,Solid,Paragon,Apprentice,Solid,Broad,Neophyte,Broad,Neophyte,Sublime,Solid,Proficient,Legendary,Renowned,Able,Grand-Master,Able,Distinguished,Ultimate,Distinguished,Distinguished,Distinguished,Renowned,Distinguished,Ultimate,Proficient,Proficient,Proficient,Distinguished,Legendary,Able,Grand-Master,Respected,2026-04-08,2026-04-08 18:10:07
Amazingtarts,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=amazingtarts,,Senior Officer,,Mass Extinction,Member,Rude Awakening,Stowaway,Penobscot Island Navy,Stork,0,,0,,0,,2,Shack Macaque on Alkaid Island | Eccentric Estates on Arakoua Island,3,Amazingdarts | Captbiology | Cptbigbamboo,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Neophyte,Apprentice,Apprentice,Novice,Novice,Novice,Neophyte,Novice,Novice,Neophyte,Novice,Novice,Narrow,Novice,Novice,Narrow,Novice,Novice,Novice,Novice,Novice,Able,Able,Able,Proficient,Able,Able,Able,Proficient,Able,Able,Able,Able,Able,Proficient,Able,Able,Proficient,Able,Able,Able,Proficient,Able,2026-04-08,2026-04-08 18:10:07
Drunkdarts,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=drunkdarts,,,,,,,Stowaway,The Lowland Hundred Navy,Horse Head,0,,0,,0,,1,Milkshack on Wensleydale,3,Amazingdarts | Captbiology | Deserteagles,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Novice,Neophyte,Solid,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Novice,Apprentice,Novice,Novice,Neophyte,Novice,Novice,Novice,Novice,Novice,Able,Able,Proficient,Respected,Able,Able,Able,Able,Able,Able,Able,Able,Able,Proficient,Able,Able,Proficient,Able,Able,Able,Able,Able,2026-04-08,2026-04-08 18:10:07
Scozy,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=scozy,http://emerald.puzzlepirates.com/media/emerald/portraits/36d/431d421bde146c18fdb1fe7f55136.jpg,Captain,Warmonger,Washed Up,King,Guppy Gang,Ensign,Alkaid Island Navy,Ursa,6,Brass Monkey on Alkaid Island | Lawless Blonde on Admiral Island | The Shrine of the Silver Monkey on Alkaid Island | The Iron Ape on Alkaid Island | Primate Realty on Alkaid Island | See Hear Speak and Buy No Evil on Alkaid Island,3,Dial M for Madder on Admiral Island | Grindylows on Scrimshaw Island | Clothes that Sleigh on Aimuari Island,0,,20,The Cuckoo's Nest on Quetzal Island | Caddyshack on Admiral Island | Shack eel Oh Kneel on Blackthorpe Island | Milkshack on Wensleydale | Homestead Hut on Lincoln Island | Sigil Shack on Sayers Rock | Adobe Abode on Chachapoya Island | Cambrian Cabins on Arakoua Island | Cabin Fever on Admiral Island | Stab In Cabin on Aimuari Island | Bunker Bungalow on Lincoln Island | Bungalow Bill on Admiral Island | Cheesy Pun on Wensleydale | Bringing Town the House on Admiral Island | Sidekick Shacks on Barbary Island | King Kottage on Admiral Island | Row Me Daddy on Admiral Island | Funky Townhouse on Caravanserai Island | Only a Manor of Time on Aimuari Island | Bedside Manors on Admiral Island,0,,Obscure,Eminent,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Weighty,Solid,Solid,Solid,Apprentice,Neophyte,Solid,Weighty,Narrow,Expert,Broad,Sublime,Narrow,Apprentice,Illustrious,Narrow,Broad,Expert,Narrow,Expert,Weighty,Proficient,Respected,Proficient,Master,Respected,Able,Proficient,Respected,Respected,Master,Master,Master,Proficient,Proficient,Respected,Legendary,Proficient,Master,Grand-Master,Distinguished,Distinguished,Legendary,2026-04-08,2026-04-08 18:10:07
Swiggity,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=swiggity,http://emerald.puzzlepirates.com/media/emerald/portraits/e39/93c08462ad7bc7da5a157a87e60c2.jpg,Captain,Drunk,Jack Daniels,King,Whiskey Business,Chief Petty Officer,Admiral Island Navy,Gull,1,Monkey Mix on Alkaid Island,0,,1,Crystalla's Tailoring Stall on Admiral Island,5,Caddyshack on Admiral Island | King Kottage on Admiral Island | Bedside Manors on Admiral Island | Cabin Fever on Admiral Island | Bringing Town the House on Admiral Island,2,Avada | Kedavra,Aspiring,Established,Celebrated,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Broad,Weighty,Narrow,Broad,Broad,Solid,Neophyte,Broad,Narrow,Solid,Narrow,Broad,Solid,Narrow,Apprentice,Broad,Narrow,Novice,Narrow,Apprentice,Solid,Neophyte,Proficient,Ultimate,Proficient,Able,Proficient,Able,Able,Proficient,Proficient,Renowned,Able,Proficient,Proficient,Proficient,Able,Proficient,Able,Able,Able,Proficient,Proficient,Proficient,2026-04-08,2026-04-08 18:10:07
Scozydeeds,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=scozydeeds,http://emerald.puzzlepirates.com/media/emerald/portraits/908/b45d71ad9cbfb37ab865290eefd6e.jpg,Captain,,Nein Nein Nein Nein,Member,Guppy Gang,Petty Officer,Blackthorpe Island Navy,Pelican,0,,0,,0,,6,Sidekick Shacks on Barbary Island | Caddyshack on Admiral Island | Milkshack on Wensleydale | Love Shack on Caravanserai Island | Shack eel Oh Kneel on Blackthorpe Island | Sea Shack on Scrimshaw Island,1,Jobwithme,Aspiring,Aspiring,Noted,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Solid,Narrow,Solid,Neophyte,Novice,Novice,Novice,Apprentice,Novice,Narrow,Novice,Neophyte,Novice,Novice,Solid,Novice,Novice,Novice,Novice,Apprentice,Apprentice,Able,Able,Able,Master,Proficient,Able,Able,Able,Respected,Able,Proficient,Able,Able,Able,Able,Master,Able,Able,Able,Able,Renowned,Respected,2026-04-08,2026-04-08 18:10:07
Crushiie,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=crushiie,http://emerald.puzzlepirates.com/media/emerald/portraits/e9e/15ee075a90f0ffb77719e12ba6ba4.jpg,Captain,,Get Scuppered,Queen,Her Majesties Misfits,Lieutenant,Admiral Island Navy,Gull,4,You're Getting on My Threads on Barbary Island | Let's Get Ship Faced on Barbary Island | Damn | Mother Forger on Barbary Island,0,,0,,6,Jurassic Shack on Arakoua Island | King Kottage on Admiral Island | Bringing Town the House on Admiral Island | Jurassic Shack on Arakoua Island | Villa Las Vegas on Admiral Island | Be Our Guest Gallery on Armstrong Island,0,,Aspiring,Aspiring,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Apprentice,Broad,Weighty,Solid,Broad,Apprentice,Novice,Solid,Solid,Novice,Solid,Illustrious,Solid,Solid,Broad,Solid,Weighty,Neophyte,Solid,Apprentice,Weighty,Solid,Able,Proficient,Proficient,Proficient,Proficient,Able,Able,Distinguished,Able,Able,Proficient,Grand-Master,Distinguished,Proficient,Able,Proficient,Distinguished,Proficient,Proficient,Able,Proficient,Respected,2026-04-08,2026-04-08 18:10:07
Graysn,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=graysn,http://emerald.puzzlepirates.com/media/emerald/portraits/af3/ebf8142b91d46f2112397e05e7539.jpg,Senior Officer,Treasurer,Dopamine,Prince,Do Not Reply,Lieutenant,Admiral Island Navy,Gull,3,Peat's Oak on Isle of Kent | Scepter & Sage on Isle of Kent | Budding Traders on Isle of Kent,11,Baker Street on Doyle Island | Mafia Holdings on Pukru Island | The Norwood Builder on Doyle Island | Ships of Prey on Albatross Island | Falcons Bay on Albatross Island | Blazers of Glory on Admiral Island | Buckingham on Pukru Island | Progress Pointe on Gallows Island | The Great White North on Cryo Island | Cannonballs Incorporated on Sayers Rock | Wicked Wench on Cryo Island,1,Graysn's Tailoring Stall on Admiral Island,5,Caddyshack on Admiral Island | The Cuckoo's Nest on Quetzal Island | Love Shack on Caravanserai Island | Cabin Fever on Admiral Island | Bedside Manors on Admiral Island,1,Wishfury,Rumored,Renowned,Illustrious,Rumored,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Narrow,Narrow,Solid,Novice,Broad,Novice,Novice,Solid,Broad,Novice,Solid,Solid,Narrow,Illustrious,Novice,Broad,Novice,Novice,Weighty,Novice,Illustrious,Novice,Able,Distinguished,Respected,Able,Distinguished,Able,Proficient,Ultimate,Distinguished,Able,Master,Grand-Master,Proficient,Legendary,Able,Proficient,Able,Able,Legendary,Proficient,Master,Proficient,2026-04-08,2026-04-08 18:10:07
Krimz,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=krimz,http://emerald.puzzlepirates.com/media/emerald/portraits/6b4/a762ddca10f6fc6478c65cb4f9c4c.jpg,Captain,Prisoner,Trippin Balls,Prince,Bad Trip,Admiral,Admiral Island Navy,Gull,1,Hullucination Harbor on Sayers Rock,1,Your Moist Laundry on Caravanserai Island,0,,2,Bedside Manors on Admiral Island | King Kottage on Admiral Island,0,,Rumored,Eminent,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Solid,Solid,Apprentice,Illustrious,Novice,Novice,Solid,Illustrious,Narrow,Weighty,Broad,Expert,Narrow,Neophyte,Paragon,Weighty,Apprentice,Weighty,Neophyte,Paragon,Neophyte,Able,Ultimate,Distinguished,Proficient,Master,Able,Able,Grand-Master,Legendary,Master,Proficient,Master,Proficient,Proficient,Master,Grand-Master,Distinguished,Distinguished,Grand-Master,Proficient,Distinguished,Proficient,2026-04-08,2026-04-08 18:10:07
