Pirate Name,Pirate URL,Portrait URL,Crew Rank,Crew Job,Crew Name,Flag Role,Flag Name,Navy Rank,Navy Name,Navy Archipelago,Owns Count,Owns List,Manages Count,Manages List,Stalls Count,Stalls List,Houses Count,Houses List,Hearties Count,Hearties List,Reputation Conqueror,Reputation Explorer,Reputation Magnate,Reputation Patron,Skill Category Alchemistry,Skill Category Battle Navigation,Skill Category Bilging,Skill Category Blacksmithing,Skill Category Carpentry,Skill Category Distilling,Skill Category Drinking,Skill Category Foraging,Skill Category Gunning,Skill Category Hearts,Skill Category Navigating,Skill Category Patching,Skill Category Poker,Skill Category Rigging,Skill Category Rumble,Skill Category Sailing,Skill Category Shipwrightery,Skill Category Spades,Skill Category Swordfighting,Skill Category Treasure Drop,Skill Category Treasure Haul,Skill Category Weaving,Skill Experience Alchemistry,Skill Experience Battle Navigation,Skill Experience Bilging,Skill Experience Blacksmithing,Skill Experience Carpentry,Skill Experience Distilling,Skill Experience Drinking,Skill Experience Foraging,Skill Experience Gunning,Skill Experience Hearts,Skill Experience Navigating,Skill Experience Patching,Skill Experience Poker,Skill Experience Rigging,Skill Experience Rumble,Skill Experience Sailing,Skill Experience Shipwrightery,Skill Experience Spades,Skill Experience Swordfighting,Skill Experience Treasure Drop,Skill Experience Treasure Haul,Skill Experience Weaving,Skill Reputation Alchemistry,Skill Reputation Battle Navigation,Skill Reputation Bilging,Skill Reputation Blacksmithing,Skill Reputation Carpentry,Skill Reputation Distilling,Skill Reputation Drinking,Skill Reputation Foraging,Skill Reputation Gunning,Skill Reputation Hearts,Skill Reputation Navigating,Skill Reputation Patching,Skill Reputation Poker,Skill Reputation Rigging,Skill Reputation Rumble,Skill Reputation Sailing,Skill Reputation Shipwrightery,Skill Reputation Spades,Skill Reputation Swordfighting,Skill Reputation Treasure Drop,Skill Reputation Treasure Haul,Skill Reputation Weaving
Boomshots,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=boomshots,http://emerald.puzzlepirates.com/media/emerald/portraits/999/8e79405e5c3d760c6735a5558efe6.jpg,Senior Officer,Monster Hunter,Wanted ll,Lord,Black Flag,Lieutenant Commander,Admiral Island Navy,Gull,0,,1,Kegs-R-Us on Kashgar Island,0,,1,The Great Estate on Admiral Island,332,Alexco | Alitar | Amillia | Andoran | Anellia | Annto | Ardash | Arialover | Ashcrow | Aurorabones | Ausausaus | Avatarj | Avienda | Ayani | Badjobber | Balouche | Battal | Beia | Betty | Birdeh | Bisca | Blacksmokej | Blackteach | Bluedaemon | Bonna | Bookly | Bootymo | Brachy | Brocket | Bubbleyummy | Bwchurch | Byobsoul | Bythestars | Camelrider | Canadagoose | Capablanca | Capmo | Capsing | Captainkelty | Carpaccio | Cases | Charika | Chartable | Chatita | Cherilicious | Cheryll | Chimpduck | Cinderpool | Ckmelody | Clovestdk | Codefish | Colegg | Condoor | Crazydonkey | Cynestria | Czarina | Daftsadie | Daquan | Darlie | Darlingest | Davidek | Daxskipster | Deathhunter | Deepside | Dekay | Delores | Dignity | Dlaria | Doggieb | Doghnut | Doseofcudi | Dotterbart | Dragonsfire | Dragonskeep | Dreamsayer | Dreamynose | Dwyder | Ehabeby | Eldodd | Electro | Elsol | Embargo | Emerlaus | Empathetic | Ennazus | Enyalios | Eriica | Evocation | Exaulted | Exparte | Favela | Fenixrise | Filthyjake | Finishedlast | Firedan | Fools | Fretfuls | Fritbri | Getahelmet | Goblins | Gonez | Goobz | Gorbatsjov | Gschatzi | Gwendolyne | Haiyou | Hangh | Headshots | Helenp | Hexhunter | Homtrix | Hugoboss | Icce | Icemiyuki | Icerider | Ifairmaidenl | Igboo | Imaduck | Imrans | Imstoned | Infectiouss | Inkyduck | Ivyy | Jaxxa | Jbghost | Jfmaa | Jieret | Jimmiebuffet | Jinglebelle | Jobforkh | Jonxthexkite | Jstgeorge | Justu | Kageri | Kaltrina | Kalynalt | Karupin-West | Katsan | Kcalany | Kenchio | Kersje | Kichi | Kikinoki | Kiva | Knecht | Koax | Kriosx | Kromf | Kumari | Ladybonna | Lani | Latix | Leenieboo | Legendu | Likeeaboss | Lindseyloo | Lithien | Littleus | Lj | Lobosterazo | Loiosch | Longpaul | Loupoe | Lovelylass | Lucicafer | Luciely | Lululala | Lulularousse | Lunaplata | Magiere | Mahtia | Maidenfair | Malliik | Margaroo | Mariusz | Masterdodo | Masters | Mcgie | Meaganz | Meeow | Mehide | Melee | Minigun | Minirob | Misteryoyo | Monlizzy | Mrboom | Mrchristian | Mrsqueak | Mukundgoel | Naphina | Narci | Narphus | Nastything | Nauty | Nayland | Nerdx | Ngarla | Nightkiller | Nilegod | Niv | Nolim | Notelaz | Nothudey | Noushka | Oceanbeast | Oddpoe | Oldpiratee | Oliverwood | Oompa | Outlander | Paimon | Palmtree | Palmu | Paperfroggy | Pella | Pengybr | Pepaya | Peperox | Petaparka | Pinkpearls | Pixxel | Polishx | Potts | Privatesam | Profy | Prudance | Pumadace | Quansha | Queenofspace | Quinnbarbosa | Ramengal | Ramenspice | Rechiva | Reclaim | Redcheek | Redtart | Rekin | Revkoolaid | Ricardinio | Rikko | Robbolad | Robey | Rohitpa | Romi | Rompinrabbit | Rosaliea | Roxane-East | Rriel | Rsolo | Ruhrpottcutt | Ruimiguel | Ruin | Rumdum | Rummie | Rytastic | Saintmistery | Sapphiregem | Sartlu | Sassi | Scotlandrule | Scrib | Sealdiver | Secutore | Seleenn | Shabana | Sherlocks | Sherry | Silverhammer | Siobhana | Sirlimpsalot | Skjold | Skytte | Smilodon | Snakehunter | Sorileea | Splashtache | Spookyy | Squelchyman | Sscc | Stargazie | Stripenose | Stumpbob | Subhadra | Superguido | Supremu | Swizzo | Sydney | Tacticss | Tandecker | Terrorted | Times | Tinkerbella | Titevie | Tosl | Touareg | Toxicsolo | Tribal | Trinamy | Tro | Trunks | Tykki | Tzz | Umami | Usidore | Vackert | Vampirekitty | Vancord | Vandalize | Vif | Vittario | Wackyraces | Warofwords | Willepi | Wilyam | Wiserytoo | Wizdom | Xcomplicated | Xoemerlaus | Yassenn | Yiu | Zafiron | Zantrix | Zeagull | Zeiknums | Zekalina | Zelin | Zilver | Zilvy | Zirra | Zofeya | Zompie,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Solid,Expert,Novice,Illustrious,Novice,Novice,Broad,Paragon,Novice,Sublime,Neophyte,Broad,Expert,Broad,Illustrious,Illustrious,Neophyte,Narrow,Novice,Expert,Neophyte,Able,Ultimate,Distinguished,Able,Respected,Able,Able,Distinguished,Distinguished,Able,Master,Proficient,Renowned,Proficient,Master,Master,Master,Able,Legendary,Proficient,Respected,Proficient
Brocket,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=brocket,http://emerald.puzzlepirates.com/media/emerald/portraits/804/e847a4476be5628946ef08ce0eb6a.jpg,Senior Officer,First Mate,Spirit of the Caribbean,Prince,Black Flag,Admiral,Sayers Rock Navy,Ursa,1,Prydwen on Bowditch Island,3,The Rusting Dead on Aimuari Island | Cherry Blossom on Barbary Island | Eye-Witness Fashion on Pukru Island,0,,11,Caddyshack on Admiral Island | Sigil Shack on Sayers Rock | Sea Shack on Scrimshaw Island | Gallery of Gilgul on Sayers Rock | Sea Shack on Scrimshaw Island | Adobe Abode on Chachapoya Island | The Dove Shack on Armstrong Island | Caddyshack on Admiral Island | Aural Shacks on Bowditch Island | King Kottage on Admiral Island | Only a Manor of Time on Aimuari Island,1,Amillia,Rumored,Noted,Renowned,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Weighty,Illustrious,Paragon,Weighty,Illustrious,Solid,Narrow,Expert,Illustrious,Solid,Revered,Solid,Paragon,Weighty,Broad,Sublime,Sublime,Broad,Solid,Narrow,Expert,Weighty,Master,Respected,Distinguished,Master,Respected,Proficient,Able,Renowned,Renowned,Proficient,Master,Distinguished,Able,Proficient,Able,Master,Renowned,Able,Able,Able,Distinguished,Master
Chimpduck,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=chimpduck,http://emerald.puzzlepirates.com/media/emerald/portraits/13e/acd4e24705610cc6a09cbcd50bac0.jpg,Senior Officer,Distiller,Privateers,Prince,Black Flag,Commander,Kashgar Island Navy,Tern,5,Cut and Rum on Scrimshaw Island | Dhowdevil on Barbary Island | Kegs-R-Us on Kashgar Island | Quickie Mart on Kashgar Island | Shut Up and Drink on Caravanserai Island,8,GoldenDye on Admiral Island | Rusty Reaper on Aimuari Island | Paint Shop on Caravanserai Island | Crate Outline on Caravanserai Island | Licence to Swill on Admiral Island | Smash on Caravanserai Island | Captain Loomerang on Barbary Island | Dirty Dyeing on Admiral Island,0,,19,Riemann Slums on Descartes Isle | Love Shack on Caravanserai Island | Sidekick Shacks on Barbary Island | Caddyshack on Admiral Island | Sea Shack on Scrimshaw Island | Shack Macaque on Alkaid Island | Cabin Fever on Admiral Island | Stab In Cabin on Aimuari Island | Just a Bungalow on Caravanserai Island | Bungallows on Aimuari Island | Bungalow Bill on Admiral Island | Love Shack on Caravanserai Island | Love Shack on Caravanserai Island | Pine Boxes on Aimuari Island | King Kottage on Admiral Island | Death Row on Aimuari Island | Bringing Town the House on Admiral Island | Bringing Town the House on Admiral Island | Bedside Manors on Admiral Island,1,Lcawte,Aspiring,Aspiring,Obscure,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Weighty,Solid,Solid,Weighty,Illustrious,Neophyte,Solid,Paragon,Narrow,Expert,Broad,Weighty,Weighty,Narrow,Sublime,Weighty,Broad,Broad,Narrow,Solid,Solid,Respected,Master,Respected,Respected,Master,Legendary,Able,Respected,Respected,Able,Master,Master,Grand-Master,Master,Master,Ultimate,Grand-Master,Proficient,Renowned,Able,Legendary,Respected
Deepside,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=deepside,http://emerald.puzzlepirates.com/media/emerald/portraits/b3c/057dfe058825535ae653f880346a2.jpg,Senior Officer,,Privateers,Lord,Black Flag,Admiral,Admiral Island Navy,Gull,0,,1,Daisy Dukes on Arakoua Island,0,,4,Shack Macaque on Alkaid Island | Caddyshack on Admiral Island | Pine Boxes on Aimuari Island | The Great Estate on Admiral Island,8,Beia | Carpaccio | Eriica | Legendhunter | Marioman | Meaganz | Validon | Zilver,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Solid,Illustrious,Broad,Expert,Neophyte,Novice,Broad,Solid,Novice,Weighty,Illustrious,Weighty,Sublime,Solid,Weighty,Solid,Novice,Solid,Neophyte,Weighty,Narrow,Able,Ultimate,Legendary,Master,Legendary,Able,Able,Renowned,Legendary,Able,Legendary,Ultimate,Proficient,Ultimate,Legendary,Grand-Master,Grand-Master,Able,Ultimate,Proficient,Distinguished,Distinguished
Imaduck,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=imaduck,http://emerald.puzzlepirates.com/media/emerald/portraits/d8b/89cac74f4f2950c156061d8824040.jpg,Senior Officer,First Mate,Wanted ll,Princess,Black Flag,Ensign,Kashgar Island Navy,Tern,3,Gorilla Galleons on Alkaid Island | The Almighty Yard on Caravanserai Island | Tempest Dock on Aimuari Island,3,Adventures in Ball Making on Alkaid Island | The longest ships on Sayers Rock | Boats n Flows on Armstrong Island,6,Imaduck's Shipbuilding Stall on Spaniel Island | Imaduck's Shipbuilding Stall on Pukru Island | Imaduck's Shipbuilding Stall on Greenwich Island | Imaduck's Shipbuilding Stall on Descartes Isle | Imaduck's Shipbuilding Stall on Chachapoya Island | Imaduck's Shipbuilding Stall on Hubble's Eye,3,Sigil Shack on Sayers Rock | Cthulhu Mansion on Admiral Island | Cthulhu Mansion on Admiral Island,207,Adelaidean | Akrut | Alexixsz | Altaren | Ambrene | Anamari | Aquamman | Arvven | Ashcrow | Authority | Bairoun | Barcan-East | Beat | Bellaannie | Bigbro | Birdeh | Blacksmokej | Blokkertiger | Boarslayer | Bonna | Boomshots | Borac | Bungeegum | Caprio | Cases | Chaboogie | Charik | Chatita | Cheevalry | Chefsam | Cheryll | Chimpduck | Chromate | Cindytje | Cindytjee | Ckmelody | Cocacolas | Codefish | Cookie | Counting | Crystalchaos | Cyphoria | Czarina | Darley | Darthbaston | Daxskipster | Deepside | Domme | Dorama | Doulber | Doylebrunson | Dragonsfire | Dreamynose | Droidy | Drya | Dukeofwales | Dwolf | Eaae | Easyrun | Eckehart | Edjohn | Electriclime | Elkorsan | Engy | Ezzybelle | Favela | Felismajor | Goadalt | Greetingz | Gyrfalcon | Haikkra | Haiyou | Haluu | Hangh | Hiddenaerial | Homtrix | Hrackcoe | Iamangryjava | Idkwhy | Ifairmaidenl | Illustriious | Ilovetux | Infectiouss | Informer | Iphigenie | Irollerblade | Ithingar | Ivyy | Izziecakes | Jacklloyd | Jaean | Jaylong | Jbghost | Jesee | Joch | Johnnyz | Jsparrowack | Keverrs | Kewldud | Kiatai | Knecht | Koax | Kupfis | Lanlaiely | Laticus | Lengford | Lilsky | Lobosterazo | Longsao | Lorddark | Lovelylollie | Magikeren | Mapei | Maragato | Marioman | Martyhur | Meaneel | Mechinlite | Midblue | Minirob | Miror | Misspickle | Missrain | Missroxy | Missyoghurt | Momentary | Mrbengaluru-West | Mrmafia | Mrsqueak | Namour-East | Naph | Naphina | Narcosis | Narphus | Niasha-East | Nightkiller | Nosense | Noushka | Nudist | Oceanbeast | Ohfroggyone | Oompa | Ottilia | Paddock | Paimon | Paperfroggy | Perikita | Perishables | Pirachato | Piraclaudio | Plof | Pokercard | Pokerextra | Pugwashh | Qays | Raaz | Ramenspice | Redshorts | Ricardinio | Ripicliff | Roii | Romeoh | Rriel | Rubia | Sestosenso | Sexyjo | Shabana | Shiliew | Silencia | Silverhammer | Sincap | Smunkiez | Snarrf | Soldsoul | Solyma | Soulsearcher | Spadesonly | Sparklette | Stuardo | Subhadra | Surg | Swizzo | Sydney | Taehyungs | Tallsean | Tatiah | Teclis | Theepicness | Times | Trinamy | Typicaldrunk | Vandalize | Vittario | Vivikinha | Waleedz | Walmartt | Warcry | Warofwords | Weile | Wertlsa | Whiteboy | Wickitywakma | Wolfus | Xaunder | Xirkevx | Yassenn | Zekalina,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Neophyte,Solid,Expert,Apprentice,Expert,Solid,Novice,Weighty,Narrow,Novice,Illustrious,Broad,Neophyte,Neophyte,Novice,Solid,Expert,Sublime,Novice,Novice,Solid,Narrow,Able,Ultimate,Master,Proficient,Renowned,Distinguished,Able,Legendary,Proficient,Able,Ultimate,Distinguished,Renowned,Able,Proficient,Master,Grand-Master,Ultimate,Proficient,Proficient,Master,Master
Jobblack,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=jobblack,http://emerald.puzzlepirates.com/media/emerald/portraits/ec9/f54b9d83a15af73253c62ad11d54f.jpg,Captain,,Blackade,Princess,Black Flag,Petty Officer,Isle of Kent Navy,Gull,0,,0,,0,,1,Row Me Daddy on Admiral Island,1,Brianjd,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Neophyte,Apprentice,Broad,Neophyte,Solid,Neophyte,Novice,Novice,Solid,Novice,Expert,Neophyte,Neophyte,Solid,Novice,Narrow,Narrow,Novice,Neophyte,Novice,Broad,Novice,Proficient,Proficient,Proficient,Proficient,Proficient,Able,Able,Able,Distinguished,Able,Legendary,Proficient,Distinguished,Proficient,Able,Distinguished,Distinguished,Able,Distinguished,Able,Grand-Master,Able
Zilver,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=zilver,http://emerald.puzzlepirates.com/media/emerald/portraits/ce6/823c2f59c3e77e0adb4ed51210298.jpg,Senior Officer,Mascot,Privateers,Prince,Black Flag,Commander,Admiral Island Navy,Gull,3,The Royal Clothier on Admiral Island | The Royal Potion on Admiral Island | The Royal Weaver on Admiral Island,1,The Drunk Knight on Barbary Island,0,,11,Caddyshack on Admiral Island | Riemann Slums on Descartes Isle | King Kottage on Admiral Island | The Great Estate on Admiral Island | Aural Shacks on Bowditch Island | Caddyshack on Admiral Island | King Kottage on Admiral Island | Bedside Manors on Admiral Island | Bedside Manors on Admiral Island | Villa Las Vegas on Admiral Island | Villa Las Vegas on Admiral Island,11,Carpaccio | Cheryll | Deepside | Eriica | Formido | Haiyou | Meaganz | Oldpiratee | Salvy | Terrorted | Zeagull,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Solid,Weighty,Expert,Broad,Expert,Narrow,Apprentice,Weighty,Expert,Broad,Illustrious,Sublime,Solid,Weighty,Broad,Paragon,Solid,Neophyte,Solid,Apprentice,Weighty,Broad,Distinguished,Legendary,Proficient,Proficient,Distinguished,Proficient,Able,Distinguished,Distinguished,Able,Distinguished,Ultimate,Legendary,Proficient,Proficient,Master,Respected,Able,Master,Able,Respected,Distinguished
Iaago,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Iaago,http://emerald.puzzlepirates.com/media/emerald/portraits/9f7/a8290420f162bde0191f517b933f0.jpg,Senior Officer,Lazy Bones,Reverie,Lord,Crash Out,Lieutenant Commander,Scrimshaw Island Navy,Stork,6,Kinky Chemistry on Aimuari Island | Capybara Cryptyard on Aimuari Island | Ball-Mart on Scrimshaw Island | High Supply on Scrimshaw Island | No Ballboozles on Aimuari Island | Cloak & Dagger on Barbary Island,6,Tequila Mockingbird on Aimuari Island | Fleet Pics on Caravanserai Island | Fortini on Ambush Island | Greece's Pieces on Aimuari Island | Apple Bottom Jeans on Caravanserai Island | Greece My Sword on Caravanserai Island,0,,8,Sea Shack on Scrimshaw Island | Caddyshack on Admiral Island | Coral Cabins on Scrimshaw Island | Cypress Cabins on Alkaid Island | Cabin Fever on Admiral Island | Row Me Daddy on Admiral Island | Guardians of the Gallery on Admiral Island | Whisking Whale Road on Arakoua Island,17,Acidd | Capnray | Dexedrine | Frostease | Greecefeva | Hexhunter | Jice | Judithxoxo | Margaroo | Monlizzy | Nitrology | Ryuken | Salvame | Tortuosity | Umami | Ylisse | Youngsinatra,Aspiring,Established,Established,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Weighty,Expert,Sublime,Solid,Paragon,Narrow,Broad,Weighty,Expert,Novice,Paragon,Revered,Apprentice,Illustrious,Broad,Paragon,Paragon,Novice,Broad,Narrow,Revered,Solid,Renowned,Distinguished,Respected,Master,Respected,Able,Able,Master,Distinguished,Able,Respected,Grand-Master,Able,Respected,Respected,Grand-Master,Grand-Master,Able,Respected,Able,Proficient,Grand-Master
Galantis,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Galantis,http://emerald.puzzlepirates.com/media/emerald/portraits/c36/8cf51987245600bfbb7f0f41adf45.jpg,Senior Officer,Artist,Reverie,Member,Crash Out,Captain,Greenwich Island Navy,Pelican,0,,0,,3,Galantis's Ironworking Stall on Greenwich Island | Galantis's Apothecary Stall on Greenwich Island | Galantis's Tailoring Stall on Greenwich Island,40,Love Shack on Caravanserai Island | The Dove Shack on Armstrong Island | Pine Boxes on Aimuari Island | Sidekick Shacks on Barbary Island | Caddyshack on Admiral Island | Shack Macaque on Alkaid Island | Stab In Cabin on Aimuari Island | Shadow Cabin on Barbary Island | Cabin Fever on Admiral Island | Once Upon A Time In The Projects on Armstrong Island | Uncle Tom's Cabin on Caravanserai Island | Cypress Cabins on Alkaid Island | Blackgate on Barbary Island | Bunga Lowrider on Armstrong Island | Bungalow Bill on Admiral Island | Bungallows on Aimuari Island | Just a Bungalow on Caravanserai Island | Beech Bungalow on Alkaid Island | King Kottage on Admiral Island | Cottagious Disease on Aimuari Island | Long Beach Cribs on Armstrong Island | Chestnut Cottage on Alkaid Island | A Cottage for Sale on Caravanserai Island | Krypton Kottage on Barbary Island | Death Row on Aimuari Island | Row Me Daddy on Admiral Island | Tarzan's Treehouse on Alkaid Island | Row House of the Rising Sun on Caravanserai Island | Hero Houses on Barbary Island | Doctor in the Row House on Bowditch Island | Funky Townhouse on Caravanserai Island | Bringing Town the House on Admiral Island | Munky Town on Alkaid Island | Stark Towerhouse on Barbary Island | Jonestown Houses on Aimuari Island | Live Organ Townhouses on Bowditch Island | Bedside Manors on Admiral Island | Villa Las Vegas on Admiral Island | Cthulhu Mansion on Admiral Island | The Great Estate on Admiral Island,3,Eltaro | Stinksofpoo | Tysm,Obscure,Renowned,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Expert,Sublime,Paragon,Solid,Revered,Sublime,Broad,Exalted,Sublime,Expert,Sublime,Sublime,Sublime,Expert,Solid,Revered,Weighty,Weighty,Illustrious,Broad,Sublime,Solid,Legendary,Proficient,Respected,Master,Ultimate,Able,Grand-Master,Distinguished,Grand-Master,Distinguished,Able,Renowned,Distinguished,Proficient,Master,Ultimate,Able,Proficient,Grand-Master,Grand-Master,Distinguished,Renowned
Oomami,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Oomami,,Fleet Officer,,Reverie,Member,Crash Out,Ensign,Caravanserai Island Navy,Ibis,0,,0,,0,,1,Sigil Shack on Sayers Rock,1,Whaalien,Aspiring,Aspiring,Aspiring,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Novice,Weighty,Solid,Novice,Solid,Novice,Novice,Apprentice,Solid,Novice,Narrow,Novice,Novice,Narrow,Novice,Solid,Neophyte,Novice,Novice,Novice,Solid,Novice,Able,Proficient,Respected,Able,Respected,Able,Proficient,Grand-Master,Grand-Master,Able,Able,Able,Able,Respected,Proficient,Respected,Able,Able,Proficient,Able,Proficient,Able
Umami,https://emerald.puzzlepirates.com/yoweb/pirate.wm?classic=false&target=Umami,http://emerald.puzzlepirates.com/media/emerald/portraits/819/796628e7c1b5f70355ddea7c01ccd.jpg,Senior Officer,Food Taster,Reverie,Lady,Crash Out,Admiral,Aimuari Island Navy,Orion,2,That's a Wrap on Armstrong Island | Tequila Mockingbird on Aimuari Island,19,Sloops of Galilee on Kasidim Island | Boogie Man Brews on Arakoua Island | Sword and the Serpant on Kasidim Island | Crash Out Balls on Armstrong Island | Cannonball Farming on Barbary Island | Ship Shape on Alkaid Island | Capybara Cryptyard on Aimuari Island | Dye Young on Caravanserai Island | Dad Bod Thor Supplies on Barbary Island | No Ballboozles on Aimuari Island | Cloak & Dagger on Barbary Island | Double Cup O' Spice on Armstrong Island | Juicy Banana on Alkaid Island | Lord of the Drinks on Admiral Island | Iron Age on Admiral Island | Chaotic Knots on Aimuari Island | Kinky Chemistry on Aimuari Island | Rum n Spice on Admiral Island | High Supply on Scrimshaw Island,0,,26,The Cuckoo's Nest on Quetzal Island | Pine Boxes on Aimuari Island | Shack Macaque on Alkaid Island | Sigil Shack on Sayers Rock | Jurassic Shack on Arakoua Island | Love Shack on Caravanserai Island | The Dove Shack on Armstrong Island | Caddyshack on Admiral Island | Shadow Cabin on Barbary Island | Bungalow Bill on Admiral Island | Long Beach Cribs on Armstrong Island | Bringing Town the House on Admiral Island | Dead Mansion Walking on Aimuari Island | Bunker Bungalow on Lincoln Island | Chestnut Cottage on Alkaid Island | Row Me Daddy on Admiral Island | Bringing Town the House on Admiral Island | Bringing Town the House on Admiral Island | Bringing Town the House on Admiral Island | Canopy Manors on Alkaid Island | Villa Las Vegas on Admiral Island | Cthulhu Mansion on Admiral Island | It's Only a Mansion on Bowditch Island | The Great Estate on Admiral Island | Guardians of the Gallery on Admiral Island | Whisking Whale Road on Arakoua Island,1,Crowtit,Rumored,Celebrated,Illustrious,Aspiring,Crafting,Piracy,Piracy,Crafting,Piracy,Crafting,Carousing,Crafting,Piracy,Carousing,Piracy,Piracy,Carousing,Piracy,Piracy,Piracy,Crafting,Carousing,Piracy,Carousing,Piracy,Crafting,Weighty,Expert,Sublime,Weighty,Illustrious,Expert,Broad,Illustrious,Sublime,Solid,Illustrious,Expert,Paragon,Paragon,Broad,Illustrious,Expert,Broad,Weighty,Broad,Sublime,Expert,Grand-Master,Ultimate,Respected,Ultimate,Ultimate,Proficient,Able,Proficient,Legendary,Distinguished,Legendary,Ultimate,Able,Ultimate,Legendary,Legendary,Legendary,Ultimate,Master,Proficient,Proficient,Ultimate
